"stadium_id","stadium","lat","lon"
"OAK00","Oakland Alameda County Coliseum",37.7539702,-122.1972051
"PHO00","University of Phoenix Stadium",33.4148093,-112.0108311
"LAX99","Los Angeles Memorial Coliseum",34.0139923,-118.288028648483
"STL00","The Dome at America's Center",38.6328496,-90.1886168001764
"DEN00","Empower Field at Mile High",39.743952,-105.019222812368
"LAX97","Dignity Health Sports Park",33.8640554,-118.2610716
"IND99","Indiana Convention Center",39.76397765,-86.1637967576887
"LON02","Tottenham Hotspur Stadium",51.6041916,-0.0662349052591809
"NOR00","Mercedes-Benz Superdome",29.9510489,-90.082307625389
"ATL97","Mercedes-Benz Superdome",29.9510489,-90.082307625389
"NYC00","MetLife Stadium",40.81350705,-74.0743441776694
"NYC01","MetLife Stadium",40.81350705,-74.0743441776694
"CAR00","Bank of America Stadium",35.225737,-80.8527666409835
"PHI00","Lincoln Financial Field",39.9009099,-75.167489156059
"NOR00","Mercedes-Benz Superdome",29.9510489,-90.082307625389
"ATL97","Mercedes-Benz Superdome",29.9510489,-90.082307625389
"TAM00","Raymond James Stadium",27.97597925,-82.5042179967362
"MIN00","Mall of America Field",54.6021414,-3.4330459
"BUF00","Ralph Wilson Stadium",42.7737131,-78.7869032106025
"PIT99","Three Rivers Stadium",33.7325304,-117.7717933
"CLE00","First Energy Stadium",53.80433045,-1.75938278698345
"SFO00","Pontiac Silverdome",42.6364477,-83.2571983
"CIN99","Riverfront Stadium",42.5105351,-92.3542497776728
"CIN00","Paul Brown Stadium",39.0954645,-84.5160488350198
"BAL00","M&T Bank Stadium",39.2779664,-76.6238093083547
"LON01","Twickenham Stadium",51.45600515,-0.341504701639097
"DEN99","Mile High Stadium",39.743952,-105.019222812368
"DET99","Mile High Stadium",39.743952,-105.019222812368
"KAN00","Arrowhead Stadium",39.0489387,-94.4839837519231
"DEN99","Mile High Stadium",39.743952,-105.019222812368
"DET99","Mile High Stadium",39.743952,-105.019222812368
"PHO99","Sun Devil Stadium",33.42655155,-111.933276906883
"SEA00","CenturyLink Field",47.5953459,-122.331644311961
"IND00","Lucas Oil Stadium",39.760085,-86.1637037946731
"MIN01","U.S. Bank Stadium",44.9749861,-93.2598737
"MIA00","Hard Rock Stadium",25.95790315,-80.2388497396752
"VEG00","Allegiant Stadium",36.09083455,-115.182477977026
"PHI99","Veterans Stadium",36.2005572,-115.255002908482
"SDG00","Qualcomm Stadium",32.78192235,-117.084475303107
"CHI99","Memorial Stadium",40.09931775,-88.2367491580664
"BOS00","Gillette Stadium",42.0912526,-71.2644646105907
"MIN98","TCF Bank Stadium",44.97653965,-93.2240767261973
"BOS99","Foxboro Stadium",42.0953545,-71.2616265
"LON00","Wembley Stadium",51.55606945,-0.279603393794014
"JAX00","TIAA Bank Field",30.32398105,-81.6373045703403
"NYC00","MetLife Stadium",40.81350705,-74.0743441776694
"NYC01","MetLife Stadium",40.81350705,-74.0743441776694
"NAS00","Nissan Stadium",36.16649655,-86.7712644420847
"SEA99","Husky Stadium ",47.6503736,-122.301975982514
"MEX00","Estadio Azteca",19.3029794,-99.1504699525862
"SFO01","Levi's Stadium",37.40303995,-121.969681705055
"CHI98","Soldier Field",41.86245145,-87.6167151470407
"GNB00","Lambeau Field",44.50095825,-88.0610340437601
"DAL99","Texas Stadium",29.3716531,-95.803506
"BRG00","Tiger Stadium",30.41197725,-91.1838302966362
"BUF01","Rogers Centre",43.64165985,-79.3891971737279
"SEA98","The Kingdome",47.5985216,-122.3313156
"ATL00","Georgia Dome",32.8468997,-84.847263
"DAL00","AT&T Stadium",32.7472889,-97.0952878
"LAX01","SoFi Stadium",33.95335745,-118.339086427891
"PIT00","Heinz Field",40.44671645,-80.0157549334943
"HOU00","NRG Stadium",29.6848581,-95.4108014532699
"WAS00","FedExField",38.90768745,-76.8644868591675
"DET00","Ford Field",42.33995675,-83.045616574037
"SAN00","Alamodome",29.4168923,-98.478894875693
